header,cluster_trace,postal_code,ageb,estado,municipio,colonia,metodo,lat,lon
CEC-20-1314|MEX|ST_2|Cluster_NA|2020/08/31,,55044,1503300013784,Mexico,Ecatepec de Morelos,Real de Ecatepec,Distribucion_Colonia,19.6186298,-99.0008672
CEC-21-4010|MEX|ST_2|Cluster_NA|2021/06/17,,.,1505800012003,Mexico,Nezahualcoyotl,Maravillas,Distribucion_Colonia,19.4189961,-99.0444793
CEC-19-0546|MEX|ST_2|Cluster_146|2019/10/11,,.,1503700090223,Mexico,Ixtapaluca,.,Distribucion_Municipio,,
CEC-22-7773|MEX|ST_2|Cluster_NA|2022/06/01,,.,1507000050904,Mexico,La Paz_EMX,Tepozanes,Distribucion_Municipio,,
CEC-22-7416|MEX|ST_2|Cluster_NA|2022/05/09,,.,1509900461667,Mexico,Tecamac,San Pablo Tecalco,Distribucion_Colonia,19.6723695,-98.9583853
CEC-19-0775|MEX|ST_2|Cluster_NA|2019/11/08,,.,1505800010312,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-20-1521|MEX|ST_2|Cluster_NA|2020/09/23,,54695,1503500270375,Mexico,Huehuetoca,Santa Teresa 3 y 3 Bis,Distribucion_Municipio,,
CEC-19-0083|MEX|ST_2|Cluster_NA|2019/08/21,,.,1510400011955,Mexico,Tlalnepantla de Baz,.,Distribucion_Municipio,,
CEC-20-1986|MEX|ST_2|Cluster_NA|2020/11/11,,.,1503700710187,Mexico,Ixtapaluca,.,Distribucion_Municipio,,
CEC-19-0186|MEX|ST_2|Cluster_NA|2019/09/04,,.,1509900211686,Mexico,Tecamac,.,Distribucion_Municipio,,
CEC-19-0027|MEX|ST_2|Cluster_NA|2019/07/19,,.,1501300010128,Mexico,Atizapan de Zaragoza,.,Distribucion_Municipio,,
CEC-20-1062|MEX|ST_2|Cluster_NA|2020/08/04,,.,151040001029A,Mexico,Tlalnepantla de Baz,.,Distribucion_Municipio,,
CEC-19-0127|MEX|ST_2|Cluster_NA|2019/08/28,,.,1503300014636,Mexico,Ecatepec de Morelos,.,Distribucion_Municipio,,
CEC-20-1411|MEX|ST_2|Cluster_NA|2020/09/14,,.,1503300013657,Mexico,Ecatepec de Morelos,Luis Donaldo Colosio,Distribucion_Colonia,19.6419714,-99.0659138
CEC-22-8338|MEX|ST_2|Cluster_NA|2022/07/18,,.,1502400010085,Mexico,Chimalhuacan,.,Distribucion_Municipio,,
CEC-22-6930|MEX|ST_2|Cluster_NA|2022/03/25,,.,150360007032A,Mexico,Huixquilucan,San Fernando,Distribucion_Colonia,19.3855517,-99.2832147
CEC-19-0298|MEX|ST_2|Cluster_NA|2019/09/13,,.,1510300010057,Mexico,Tlalmanalco,.,Distribucion_Municipio,,
CEC-22-7199|MEX|ST_2|Cluster_NA|2022/04/19,,.,151000007020A,Mexico,Texcoco,Pentecostes,Distribucion_Colonia,19.5489591,-98.8638618
CEC-21-4333|MEX|ST_2|Cluster_NA|2021/07/15,,.,1502400010210,Mexico,Chimalhuacan,.,Distribucion_Municipio,,
CEC-22-6963|MEX|ST_2|Cluster_NA|2022/03/28,,.,1501300011855,Mexico,Atizapan de Zaragoza,Alfredo V Bonfil,Distribucion_Municipio,,
CEC-22-8463|MEX|ST_2|Cluster_NA|2022/08/02,,.,151000093,Mexico,Texcoco,.,Distribucion_Municipio,,
CEC-19-0304|MEX|ST_2|Cluster_NA|2019/09/17,,.,150580001197A,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-21-4811|MEX|ST_2|Cluster_NA|2021/09/13,,.,1503300012837,Mexico,Ecatepec de Morelos,.,Distribucion_Municipio,,
CEC-19-0990|MEX|ST_2|Cluster_NA|2019/12/05,,.,1510000070182,Mexico,Texcoco,Wenceslao Victoria,Distribucion_Municipio,,
CEC-22-8761|MEX|ST_2|Cluster_NA|2022/08/25,,.,1505800011128,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-19-0520|MEX|ST_2|Cluster_NA|2019/10/09,,.,1510000010110,Mexico,Texcoco,.,Distribucion_Municipio,,
CEC-19-1027|MEX|ST_2|Cluster_NA|2019/12/11,,.,1505800010350,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-19-0589|MEX|ST_2|Cluster_NA|2019/10/16,,.,1512200011046,Mexico,Valle de Chalco Solidaridad,.,Distribucion_Municipio,,
CEC-19-0877|MEX|ST_2|Cluster_NA|2019/11/22,,.,1509901731629,Mexico,Tecamac,.,Distribucion_Municipio,,
CEC-20-1308|MEX|ST_2|Cluster_NA|2020/08/31,,.,1503700710562,Mexico,Ixtapaluca,Santo Tomas,Distribucion_Colonia,19.3174288,-98.9067362
CEC-22-7814|MEX|ST_2|Cluster_NA|2022/06/03,,.,1502400010386,Mexico,Chimalhuacan,Acuitlapilco Primera Seccion,Distribucion_Municipio,,
CEC-21-4926|MEX|ST_2|Cluster_NA|2021/09/22,,.,150330001046A,Mexico,Ecatepec de Morelos,Carlos Hank Gonzalez,Distribucion_Colonia,19.5770864,-99.0247755
CEC-19-0441|MEX|ST_2|Cluster_NA|2019/10/02,,.,1512200010283,Mexico,Valle de Chalco Solidaridad,.,Distribucion_Municipio,,
CEC-19-0165|MEX|ST_2|Cluster_NA|2019/08/30,,.,1505800011382,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
CEC-21-4751|MEX|ST_2|Cluster_NA|2021/09/02,,.,1502000010368,Mexico,Coacalco de Berriozabal,Santa Maria II,Distribucion_Municipio,,
CEC-21-3971|MEX|ST_2|Cluster_NA|2021/06/11,,.,1505800011895,Mexico,Nezahualcoyotl,.,Distribucion_Municipio,,
